p,mean,std
0.0,0.07057416005208277,0.02191954047241195
0.1,0.06645443588051939,0.021844922929285502
0.2,0.06109477908779044,0.02177688452818406
0.30000000000000004,0.055146861987605884,0.02252657228183502
0.4,0.04911625726095964,0.021665924891382835
0.5,0.04427643850661037,0.021303274862450827
0.6000000000000001,0.03426004412447025,0.020264258194746736
0.7000000000000001,0.029694641327801627,0.01968288843193428
0.8,0.02157506455644394,0.01660824318641933
0.9,0.01208097907425401,0.01187236141411803
1.0,0.0043978688551286425,0.0014093970475089802
