p,mean,std
0.0,0.05693845504484408,0.017278400293619694
0.1,0.05232593681616964,0.01603236238411638
0.2,0.046080174884935925,0.016435811958462467
0.30000000000000004,0.0397648377740659,0.01676986395921181
0.4,0.03552313715350554,0.016035105014516892
0.5,0.029563779807255424,0.015518546496310485
0.6000000000000001,0.02481460163735945,0.013896551741521922
0.7000000000000001,0.01910988454987259,0.011706948144842827
0.8,0.013996261056453078,0.010097831094269299
0.9,0.008672974553815202,0.006974586869793947
1.0,0.0035480840620700795,0.001050437896321152
