p,mean,std
0.0,0.007624869288350084,0.002411311005078601
0.1,0.007096088805868808,0.0024129700956272188
0.2,0.006127058163759457,0.002404763469773114
0.30000000000000004,0.005494522004840451,0.002361594198007973
0.4,0.004928503055023406,0.0023155791157099884
0.5,0.004232036497226327,0.0021871747880730717
0.6000000000000001,0.003532195578110497,0.0020551886318936545
0.7000000000000001,0.0026433755794965704,0.0017369420351990791
0.8,0.001913288546713419,0.0014288397783171303
0.9,0.001238175823342252,0.0010497436883911586
1.0,0.0004907338548434118,0.00014421417015411902
