p,mean,std
0.0,0.020976613594630815,0.0067553981842129835
0.1,0.0185856044632022,0.00651858931658597
0.2,0.01698580186487178,0.006735223209948743
0.30000000000000004,0.014674119299751445,0.006503212836017729
0.4,0.012619654790873657,0.0063280028815683766
0.5,0.010743210904556218,0.005820062775781872
0.6000000000000001,0.009133545828884268,0.005208072614750309
0.7000000000000001,0.007230020278476964,0.00476253976678245
0.8,0.005317727185843115,0.0038756489713966543
0.9,0.0032550940311120366,0.002703954842284905
1.0,0.001296259351061168,0.00043647174082034985
