p,mean,std
0.0,0.006219473364235616,0.0020010700791465415
0.1,0.005755087975355073,0.001947126664654554
0.2,0.004942517923229351,0.0020505907668651527
0.30000000000000004,0.004512953714605732,0.0019019318903605357
0.4,0.00388320934252173,0.0018023526410629789
0.5,0.00325100615982032,0.0016709072301950092
0.6000000000000001,0.0026461515619272927,0.0015579625459673297
0.7000000000000001,0.0021647046077562368,0.0014577080686256267
0.8,0.00158869054030932,0.001129812498732169
0.9,0.0009876914693637462,0.0008211527347340316
1.0,0.000396237743684448,0.00011468339601120228
