p,mean,std
0.0,0.026288340087882008,0.008312771029161241
0.1,0.023627566602913642,0.00823869219683302
0.2,0.021573207192198046,0.008201007648664846
0.30000000000000004,0.01888643198808353,0.007958562750516136
0.4,0.01572657464305355,0.007953042493473457
0.5,0.013396282821853955,0.006799488119041461
0.6000000000000001,0.01128950579055241,0.006485663948406362
0.7000000000000001,0.0088066168725584,0.005617233295003996
0.8,0.006227923184093685,0.004754939037582404
0.9,0.003997713940220668,0.0033355697439197995
1.0,0.0016469347087660117,0.00054733887845786
