p,mean,std
0.0,0.027907593282107807,0.009550262499320282
0.1,0.02575202932970208,0.009283452644360934
0.2,0.02379850653847383,0.009164230761248554
0.30000000000000004,0.021168720164390416,0.009498212167289863
0.4,0.018616516834779648,0.008916846932690327
0.5,0.016497592735635593,0.009098715351396457
0.6000000000000001,0.013507093571246851,0.00849248529734495
0.7000000000000001,0.011727944205335046,0.008277968499999169
0.8,0.008681873700082452,0.007050599273899697
0.9,0.004595972592014822,0.004806549158297927
1.0,0.0015930593699886493,0.0005520593802241361
