p,mean,std
0.0,0.02267899616973176,0.007440990735851121
0.1,0.02034083000982176,0.007712013925691705
0.2,0.018916164906321007,0.0074298231450528095
0.30000000000000004,0.016629397927716616,0.007525082075056691
0.4,0.015183319910803912,0.007382918505077085
0.5,0.013273037765200633,0.007069687694522968
0.6000000000000001,0.011506455085513862,0.006577242963653626
0.7000000000000001,0.009309891419468013,0.006444547617307413
0.8,0.00664742852743157,0.005618660916280767
0.9,0.0037169579509337453,0.0037830391949612327
1.0,0.0012840689615812762,0.00045768589926523627
